author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
"Drueke, Elizabeth",https://hdl.handle.net/2027.42/167927,Thesis,Science,,2021,en_US,Nonlinear Optical Effects in Weyl Semimetals and Other Strongly Correlated Materials,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168734,Archival Material,,,2021,,Chemistry,"College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168835,Archival Material,,,2021,,Budget,"College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168674,Archival Material,,,2021,,"Center for Afroamerican and African Studies review, 1994-1995","College of Literature, Science and the Arts records and publications",
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168740,Archival Material,,,2021,,Neuroscience,"College of Literature, Science and the Arts records and publications",
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/169002,Archival Material,,,2021,,"Resources, circa 2008-2010",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
University of Michigan. Office of Multi-Ethnic Student Affairs.,https://hdl.handle.net/2027.42/168973,Archival Material,,,2021,,"Peer Mentorship Manual, 2011",Office of Multi-Ethnic Student Affairs (University of Michigan) records,
"Wine, Sherwin T.",https://hdl.handle.net/2027.42/167685,Archival Material,,,2021,,"Return to Our Roots, September 21, 2003",Sherwin T. Wine papers,
"Magnaghi, Russell M.",https://hdl.handle.net/2027.42/167595,Archival Material,,,2021,,Transcript,Russell M. Magnaghi collection,
"Chapman, Cole",https://hdl.handle.net/2027.42/168129,Thesis,Science,,2021,en_US,Clinical Diagnostics For Immune Response Assessment Through Multiplexed Biosensor Immunoassays In At-Risk Populations,Dissertations and Theses (Ph.D. and Master's),
"Moffett, Lillie",https://hdl.handle.net/2027.42/167939,Thesis,Social Sciences,,2021,en_US,Investigating the Feasibility of Preschool Interventions Targeting Children's Executive Functioning & Math Skills,Dissertations and Theses (Ph.D. and Master's),
"University of Michigan. College of Literature, Science, and the Arts.",https://hdl.handle.net/2027.42/168762,Archival Material,,,2021,,Facilities (Space),"College of Literature, Science and the Arts records and publications",
University of Michigan. Office of Academic Human Resources.,https://hdl.handle.net/2027.42/168580,Archival Material,,,2021,,Out of season casebook,University Human Resources (University of Michigan) records and publications,
