author,url_identifier,type,subject,campus,date_issued,language,title,department,peerreviewed
"Gao, Yanning",https://hdl.handle.net/2027.42/167304,Practicum,Other,Other,2021-04-01,en_US,Developing the Kiwanis Environmental Education Preserve,Dissertations and Theses (Ph.D. and Master's),No
"Shiffler, Katharine",https://hdl.handle.net/2027.42/167371,Practicum,Other,Other,2021-04-01,en_US,"Therapeutic Design for Healthcare Environments: A Practical Application at St. Joseph Mercy Oakland Hospital, Pontiac",Dissertations and Theses (Ph.D. and Master's),No
"Cohn, Danielle",https://hdl.handle.net/2027.42/167375,Project,Other,Other,2021-04-01,en_US,Great Lakes Ice Cover: Enriching Database and Improving Forecast,Dissertations and Theses (Ph.D. and Master's),No
"Louria, Bethany",https://hdl.handle.net/2027.42/167363,Project,Other,Other,2021-04-01,en_US,Increasing Resistance and Reducing Vulnerability to Invasive Species at Sleeping Bear Dunes National Lakeshore,Dissertations and Theses (Ph.D. and Master's),No
"Bechard, Kevin",https://hdl.handle.net/2027.42/167373,Practicum,Other,Other,2021-04-01,en_US,Greek Paths of Culture: Reimagining Ancient Trails in the Rhodope Mountains,Dissertations and Theses (Ph.D. and Master's),No
"Elizondo Pineiro, Maite",https://hdl.handle.net/2027.42/167365,Practicum,Other,Other,2021-04-01,en_US,Stories of the Pandemic: Narratives from Gratiot/7 Mile Residents,Dissertations and Theses (Ph.D. and Master's),No
"Chang, Emma",https://hdl.handle.net/2027.42/167734,Thesis,Business and Economics,Ann Arbor,2021-04-01,en_US,The effect of social network structure on  the spread and existence of burnout in medical residents,"Business, Stephen M. Ross School of - Senior Thesis Written Reports",No
"Thomas, Laurie",https://hdl.handle.net/2027.42/167698,Thesis,Other,Other,2021-04-01,Other,The Tragic Events,Dissertations and Theses (Ph.D. and Master's),No
"McDaniel, Julia",https://hdl.handle.net/2027.42/167712,Thesis,Other,Other,2021-04-01,Other,Serpentine,Dissertations and Theses (Ph.D. and Master's),No
"Streng, Conor",https://hdl.handle.net/2027.42/167641,Project,Other,Other,2021-04-01,Other,Passive Pressure Modulation Mechanism for Improved Locomotion,"Mechanical Engineering, Department of",No
"Stokes, Samantha",https://hdl.handle.net/2027.42/167289,Practicum,Other,Other,2021-04-01,en_US,Mnomen: Assessing the Feasability of Anishinaabe-Centered Wild Rice Restoration on University of Michigan Properties,Dissertations and Theses (Ph.D. and Master's),No
"Schuler, Jordan",https://hdl.handle.net/2027.42/167899,Thesis,Other,Ann Arbor,2021-04-01,Other,Examining Key Narratives Surrounding Public Opinion on Redistricting Reform: A Case Study of Michigan’s Proposition 2 (2018),Honors Theses (Bachelor's),No
"Mayorga, Isabella",https://hdl.handle.net/2027.42/167238,Thesis,Other,Other,2021-04-01,en_US,"Tradeoffs and synergies among ecosystem services, biodiversity conservation, and food security in 2 coffee agroforestry",Dissertations and Theses (Ph.D. and Master's),No
"Greenberg, Anna",https://hdl.handle.net/2027.42/168544,Thesis,Other,Other,2021-04-01,en_US,"Monitoring and Leveraging Hydrologic restoration in the Shiawassee Flats Estuary, Year 2",Dissertations and Theses (Ph.D. and Master's),No
"Bacha, Michael Joel",https://hdl.handle.net/2027.42/167648,Project,Other,Other,2021-04-01,Other,Packaging of Planetary Exploration Organic Composition Analyzer for NASA’s Europa Mission,"Mechanical Engineering, Department of",No
"Li, Zijun",https://hdl.handle.net/2027.42/167372,Thesis,Other,Other,2021-04-01,en_US,Assessing heat vulnerability of New Orleans using multitemporal remote sensing and demographic data,Dissertations and Theses (Ph.D. and Master's),No
"Wee, Jia Chen",https://hdl.handle.net/2027.42/167652,Project,Other,Other,2021-04-01,Other,Smartphone Based Personalized Balance Training Platform,"Mechanical Engineering, Department of",No
"Schneider, Hannah",https://hdl.handle.net/2027.42/167883,Thesis,Other,Ann Arbor,2021-04-01,Other,Ujamaa and the Egalitarian Paradox: The Correlation between Socialism and Contemporary Public Service Disparities Among Villages in Rural Tanzania,Honors Theses (Bachelor's),No
"Edinger, Jackie",https://hdl.handle.net/2027.42/167368,Project,Other,Other,2021-04-01,en_US,Assessing and Communicating Climate and Water Ecosystem Services of the City of Ann Arbor Greenbelt Program,Dissertations and Theses (Ph.D. and Master's),No
"Honigford, Joel",https://hdl.handle.net/2027.42/167640,Project,Other,Other,2021-04-01,Other,Automated Jerboa Startling Device,"Mechanical Engineering, Department of",No
"Sermchaiwong, Panisa",https://hdl.handle.net/2027.42/167741,Thesis,Business and Economics,Ann Arbor,2021-04-01,en_US,Just Right: Gaining and Maintaining Brand  Loyalty Through the Lens of K-Pop,"Business, Stephen M. Ross School of - Senior Thesis Written Reports",No
"Gupta, Riya",https://hdl.handle.net/2027.42/167742,Thesis,Business and Economics,Ann Arbor,2021-04-01,en_US,Search Term-Intention Congruency in Brand-Ubiquitous Categories and Private Label  Receptiveness on the Digital Shelf,"Business, Stephen M. Ross School of - Senior Thesis Written Reports",No
"O'Brien, Conner",https://hdl.handle.net/2027.42/167364,Practicum,Other,Other,2021-04-01,en_US,The Future of Dana: Achieving Net Zero Emissions and Leading by Example,Dissertations and Theses (Ph.D. and Master's),No
"Benyamin, Aditya",https://hdl.handle.net/2027.42/167376,Practicum,Other,Other,2021-04-01,en_US,"Discussion, Data Visualization, and Dialogical Learning Materials for Diverse Audiences Education and Action for The Last Animals Foundation",Dissertations and Theses (Ph.D. and Master's),No
"Wang, Meiye",https://hdl.handle.net/2027.42/167344,Thesis,Other,Other,2021-04-01,en_US,Variability of the value of Vehicle-to-grid across vehicle and time in future California grid,Dissertations and Theses (Ph.D. and Master's),No
"Dusicska, Emily",https://hdl.handle.net/2027.42/167292,Project,Other,Other,2021-04-01,en_US,Assessing Nutrient Management Strategies to Control Harmful Algal Blooms in Lake Erie,Dissertations and Theses (Ph.D. and Master's),No
"Ors, Shannon",https://hdl.handle.net/2027.42/167744,Thesis,Business and Economics,Ann Arbor,2021-04-01,en_US,"The Power of the Pen, the Press, and the Algorithm:  Evaluating the Framing of Google News Regulatory  Efforts in the European Union and Australia","Business, Stephen M. Ross School of - Senior Thesis Written Reports",No
"Kan, Mengqing",https://hdl.handle.net/2027.42/167299,Thesis,Other,Other,2021-04-01,en_US,Dynamic flows and stocks of plastics in the United States and pathways towards zero plastic pollution by 2050,Dissertations and Theses (Ph.D. and Master's),No
"Yadav, Aniket",https://hdl.handle.net/2027.42/167294,Practicum,Other,Other,2021-04-01,en_US,"Investigate technical, policy and business approaches to addressing stewardship and circularity for end-of-life for PV system",Dissertations and Theses (Ph.D. and Master's),No
"Somers, Madeline",https://hdl.handle.net/2027.42/167154,Thesis,Other,Other,2021-04-01,en_US,Feasibility of Superabsorbent Polymer Recycling in Disposable Absorbent Hygiene Products,Dissertations and Theses (Ph.D. and Master's),No
"Ching, Alan",https://hdl.handle.net/2027.42/167302,Project,Other,Other,2021-04-01,en_US,Human-Leopard Conflict and Coexistence in Northern Kenya,Dissertations and Theses (Ph.D. and Master's),No
"Fei, Jiani",https://hdl.handle.net/2027.42/167885,Thesis,Other,Ann Arbor,2021-04-01,Other,A Probe into Propagators,Honors Theses (Bachelor's),No
"Blair, Shannon",https://hdl.handle.net/2027.42/167195,Project,Other,Other,2021-04-01,en_US,"Greenhouse Gas Inventory and Corporate Climate Strategy for Ocean Spray Cranberries, Inc.",Dissertations and Theses (Ph.D. and Master's),No
